awardedfaculty,sponsors,agency_types,species,program_areas,links,application_dates
"Griffon,Kidd, Diniz",AKC-Canine Health Foundation ,Foundation,Canine,"<a href=""http://www.akcchf.org/research/research-portfolio/program-area/behavior-active-grants.html"">Behavior</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/blood-disease-active-grants.html"">Blood Disorders</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/cardiology-active-grants.html"">Cardiology</a>, 
<a href=""http://www.akcchf.org/research/clinician-scientist-fellowships/"">Clinician-Scientist Fellowship Program</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/derm-active-grants.html"">Dermatology and Allergic Disease</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/endocrinology-active-grants.html"">Endocrinology</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/epilepsy-active-grants.html"">Epilepsy</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/gastrointestinal-active-grants.html"">Gastrointestinal Disease</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/general-canine-health-grants.html"">General Canine Health</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/hepatic-disease-active-grants.html"">Hepatic Disease</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/immunology-active-grants.html"">Immunology and Infectious Disease</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/renal-disease-active-grants.html"">Kidney and Urological Disease</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/lung-active-grants.html"">Lung and Respiratory Disease</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/musculoskeletal-active-grants.html"">Musculoskeletal Conditions and Disease</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/neurology-active-grants.html"">Neurology</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/oncology-active-grants.html"">Oncology - General</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/hemangiosarcoma-active-grants-1.html"">Oncology - Hemangiosarcoma</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/Lymphoma-active-grants-1.html"">Oncology - Lymphoma</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/osteosarcoma-active-grants-1.html"">Oncology - Osteosarcoma</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/ophthalmology-active-grants.html"">Ophthalmology</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/repro-active-grants.html"">Reproductive Conditions</a>, 
<a href=""http://www.akcchf.org/research/therio-residency/"">Theriogenology Residency Program</a>, 
<a href=""http://www.akcchf.org/research/research-portfolio/program-area/tick-borne-disease-grants.html"">Tick-Borne Disease</a>",http://www.akcchf.org/research/research-portfolio/?grant_status=open&needs_funding=&research_area=&disease=,pending
Pending,Alzheimer's Association ,Other,Other,Biomedical Research,https://www.alz.org/research/for_researchers/grants,6/1/19
Pending,American Association of Bovine Practitioners Foundation (AABP),Foundation,Bovine,Cattle Medicine,https://aabp.org/foundation/research_proposal/,12/12/18
Pending,American Association of Zoo Veterinarians (AAZV),Other,Exotics,"<a href=""https://www.aazv.org/page/2018Grants"">Wild Animal Health</a>, <a href=""https://www.aazv.org/page/689"">Murray Fowler International Conference Scholarship</a>",https://www.aazv.org/page/A7,1/15/19
Kidd,American College of Veterinary Internal Medicine,Foundation,Multi,"Research, Education/Training, <a href=""https://www.acvim.org/Portals/0/Food%20Animal%20Internal%20Medicine%20Resident%20Travel%20Award_FINAL.pdf?ver=2019-04-09-125523-753"">Travel</a>",https://www.acvim.org/Awards-Grants/Fellowships_Grants,10/15/19
Pending,American College of Veterinary Surgeons Foundation,Foundation,Other,"Zoetis Dual Training Research Grant, Surgeon-in-training, Diplomate Clinical Research",https://www.acvs.org/awards,1/15/20
Pending,American Heart Association,Other,Other,Biomedical Research,https://www.heart.org/en/professional/institute/grants,7/31/19
Faramarzi,American Holistic Veterinary Medical Foundation,Foundation,Multi,Holistic veterinary medicine,https://www.ahvmf.org/images/stories/Files/2014RG_app.pdf,3/15/20
"Faramarzi, Boynton, Peralta",American Humane Association,Other,Multi,Education/Training,https://www.americanhumane.org/program/grants-awards/,pending
Pending,American Veterinary Medical Association,Extramural-Private,Multi,"Pain Management in Dogs, Pharmacology, Early Investigator Awards, AVMA/AVMF 2nd Opportunity Research Scholarship",https://www.avmf.org/programs/research-support/,pending
Tkalcic,Animal Necessity ,Corporate,Multi,Research,http://animalnecessity.com/research,pending
Faramarzi,Arabian Horse Foundation,Foundation,Equine,Research,http://thearabianhorsefoundation.org/apply-for-a-research-grant/,pending
Tegzes,Association of American Medical Colleges,Other,Multi,Research,https://www.aamc.org/about/grantsandawards/,pending
Pending,Association of Avian Veterinarians-Wild Bird Health Grant,Other,Avian,"Avian Health, Wild Bird Health",https://www.aav.org/page/researchgrants,2/1/19
Pending,BD Biosciences,Corporate,Other,"Biomedical Research: Immunology, Cancer",https://www.bdbiosciences.com/us/applications/research/research-grants/m/researchresearchgrants/overview,pending
Pending,BESO Biological Research Inc.,Corporate,Other,Research,https://besoinc.com/research-and-development.php,pending
Pending,Bodevet,Corporate,Other,Biomedical Research,http://www.bodevet.com/,pending
"Griffon, Bertone, Reynolds, Hong",Boehringer Ingeheim - Merial,Corporate,Multi,"<a href=""https://www.boehringer-ingelheim.us/search/node/grant"">Biomedical Research</a>, <a href=""https://www.boehringer-ingelheim.us/our-research-innovation/funding-opportunities/quality-improvement-education-grants?itid=Quality%20Improvement%20Education%20Grants"">Education</a>",https://www.boehringer-ingelheim.us/funding-opportunities/medical-education-grants/applying-grant,pending
Pending,Boehringer Ingelheim Vetmedica,Corporate,Multi,"Research, Equine, Swine",https://www.bi-vetmedica.com/innovation/innovation/industry_support/grants_awards.html,pending
Pending,Bright Focus Foundation ,Foundation,Other,Biomedical Research,https://www.brightfocus.org/grants/apply-for-grant,7/1/20
Kersey,Chicago Board of Trade Foundation,Foundation,Other,Research,https://www.cbotfoundation.org/,3/15/19
Kersey,Chicago Zoological Society,Other,Exotics,"<a href=""https://www.czs.org/Chicago-Zoological-Society/Conservation-Leadership/CBOT-Endangered-Species-Fund/CBOT-Grant-Criteria"">Conservation</a>",https://www.czs.org/Centers-of-Excellence/Center-for-Animal-Welfare/Animal-Welfare-Research,6/28/19
Hao,Chinese American Faculty Association of Southern CA (CAFA),Other,Other,"<a href=""http://cafasc.org/cafa-faculty-development-grant/"">CAFA Faculty Development Grant</a>",https://cafasc.org,2/8/19
Hong,CIRM,State,Other,"<a href=""https://www.cirm.ca.gov/about-cirm/partnering-opportunity-discovery-stage-research-projects"">Discovery</a>, Education<a href=""https://www.cirm.ca.gov/about-cirm/education-conference-grants""></a>,<a href=""https://www.cirm.ca.gov/researchers/funding-opportunities/infrastructure"">Infrastructure Projects</a>",https://www.cirm.ca.gov/researchers/funding-opportunities,pending
Bertone,Clinton Park Stables,Other,Equine,Research,http://carriageon.com/,pending
Pending,Columbus Zoo Fund for Conservation,Other,Exotics,Conservation,https://globalimpact.columbuszoo.org/about/columbus-zoo-fund-for-conservation,pending
Pending,Department of Defense,Federal,Other,Biomedical Research,https://www.grants.gov/learn-grants/grant-making-agencies/department-of-defense.html,pending
Pending,Elsa U. Pardee Foundation,Foundation,Other,Biomedical Research,https://pardeefoundation.org/recent-grants/,12/31/19
Buur,Food Animal Residue Avoidance Databank (FARAD),Federal,Multi,Research,http://www.farad.org/funding-status.html,pending
Oakley,ICA TriNova,Extramural-Private,Multi,Research,https://www.sbir.gov/solicitation-listing/open,pending
